wl (nm),n,k
698.08169676075,0.69952492540159,2.19572504542078
698.865695499871,0.698955028895812,2.20048179325116
699.649694238992,0.698393687999573,2.20523795122862
700.433692978116,0.697840867445084,2.20999346820919
701.217691717238,0.697296531606744,2.21474829385688
702.001690456357,0.696760644518544,2.21950237863865
702.78568919548,0.696233169891164,2.2242556738188
703.569687934603,0.695714071128594,2.22900813145344
704.353686673727,0.695203311344378,2.23375970438476
705.137685412849,0.694700853377518,2.23851034623502
705.921684151968,0.69420665980793,2.24326001140054
706.705682891092,0.693720692971571,2.24800865504547
707.489681630211,0.693242914975187,2.25275623309528
708.273680369335,0.69277328771068,2.25750270223047
709.057679108457,0.692311772869142,2.26224801987975
709.841677847581,0.691858331954518,2.26699214421344
710.625676586703,0.691412926296921,2.27173503413656
711.409675325824,0.690975517065582,2.27647664928208
712.193674064947,0.690546065281543,2.28121695000367
712.977672804067,0.690124531829895,2.28595589736884
713.761671543192,0.68971087747184,2.29069345315159
714.545670282312,0.689305062856275,2.29542957982528
715.329669021435,0.688907048531156,2.30016424055551
716.113667760558,0.688516794954573,2.30489739919249
716.89766649968,0.688134262505428,2.30962902026387
717.681665238801,0.687759411493887,2.31435906896736
718.465663977924,0.687392202171524,2.31908751116319
719.249662717043,0.687032594741197,2.32381431336656
720.033661456166,0.68668054936655,2.32853944274047
720.817660195289,0.686336026181369,2.33326286708788
721.601658934413,0.685998985298586,2.33798455484433
722.385657673534,0.685669386819032,2.34270447507037
723.169656412654,0.685347190839917,2.34742259744417
723.953655151775,0.685032357463098,2.35213889225383
724.737653890898,0.68472484680306,2.3568533303899
725.521652630021,0.684424618994659,2.36156588333786
726.305651369143,0.684131634200629,2.36627652317066
727.089650108264,0.683845852618816,2.37098522254128
727.873648847388,0.683567234489315,2.37569195467505
728.657647586509,0.683295740101178,2.38039669336241
729.441646325631,0.683031329799058,2.38509941295149
730.225645064754,0.682773963989597,2.38980008834061
731.009643803877,0.682523603147576,2.39449869497096
731.793642542997,0.682280207821902,2.39919520881925
732.577641282121,0.682043738641331,2.40388960639058
733.361640021242,0.681814156320071,2.40858186471094
734.145638760364,0.681591421663143,2.41327196132018
734.929637499485,0.68137549557156,2.41795987426477
735.713636238607,0.681166339047329,2.42264558209077
736.497634977732,0.68096391319829,2.42732906383658
737.281633716852,0.680768179242742,2.43201029902605
738.065632455973,0.680579098513932,2.43668926766151
738.849631195097,0.680396632464382,2.44136595021672
739.63362993422,0.680220742669985,2.44604032763016
740.41762867334,0.680051390834035,2.45071238129812
741.201627412461,0.679888538791089,2.45538209306783
741.985626151586,0.679732148510559,2.46004944523109
742.769624890707,0.679582182100348,2.46471442051714
743.55362362983,0.679438601810176,2.4693770020865
744.337622368953,0.679301370034828,2.4740371735243
745.121621108075,0.679170449317353,2.47869491883357
745.905619847195,0.679045802351922,2.48335022242926
746.689618586316,0.678927391986786,2.48800306913155
747.473617325438,0.678815181226937,2.49265344415976
748.257616064562,0.678709133236743,2.49730133312602
749.041614803684,0.678609211342446,2.50194672202905
749.825613542807,0.678515379034472,2.50658959724833
750.609612281927,0.678427599969731,2.5112299455378
751.39361102105,0.67834583797377,2.51586775401999
752.177609760172,0.678270057042762,2.52050301018016
752.961608499293,0.678200221345465,2.52513570186043
753.745607238418,0.678136295225074,2.52976581725395
